;mode: matches	thresholds:	cor=-1.000000	ncor=-1.000000	w=0	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
ubx_m1_FILTER_LEN11_0	ubx_m1_FILTER_LEN11_0	FILTER_LEN11_0	FILTER_LEN11_0	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m2_FILTER_LEN11_1	FILTER_LEN11_0	FILTER_LEN11_1	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m3_FILTER_LEN11_2	FILTER_LEN11_0	FILTER_LEN11_2	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m4_FILTER_LEN11_3	FILTER_LEN11_0	FILTER_LEN11_3	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m5_FILTER_LEN11_4	FILTER_LEN11_0	FILTER_LEN11_4	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m6_FILTER_LEN11_5	FILTER_LEN11_0	FILTER_LEN11_5	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m7_FILTER_LEN11_6	FILTER_LEN11_0	FILTER_LEN11_6	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m8_FILTER_LEN11_7	FILTER_LEN11_0	FILTER_LEN11_7	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m9_FILTER_LEN11_8	FILTER_LEN11_0	FILTER_LEN11_8	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m10_FILTER_LEN11_9	FILTER_LEN11_0	FILTER_LEN11_9	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m11_FILTER_LEN11_10	FILTER_LEN11_0	FILTER_LEN11_10	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m12_FILTER_LEN11_11	FILTER_LEN11_0	FILTER_LEN11_11	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m13_FILTER_LEN11_12	FILTER_LEN11_0	FILTER_LEN11_12	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m14_FILTER_LEN11_13	FILTER_LEN11_0	FILTER_LEN11_13	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m15_FILTER_LEN11_14	FILTER_LEN11_0	FILTER_LEN11_14	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m16_FILTER_LEN11_15	FILTER_LEN11_0	FILTER_LEN11_15	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m17_FILTER_LEN11_16	FILTER_LEN11_0	FILTER_LEN11_16	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m18_FILTER_LEN11_17	FILTER_LEN11_0	FILTER_LEN11_17	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m19_FILTER_LEN11_18	FILTER_LEN11_0	FILTER_LEN11_18	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
ubx_m1_FILTER_LEN11_0	ubx_m20_FILTER_LEN11_19	FILTER_LEN11_0	FILTER_LEN11_19	0.000000	0.000000	0.000000	0.000000	11	11	11	11	1.000000	1.000000	1.000000	D	0	41
